title,author,runtime
1. Waybound,By: Will Wight,Length: 16 hrs and 13 mins
2. Atomic Habits,By: James Clear,Length: 5 hrs and 35 mins
3. Identity,By: Nora Roberts,Length: 15 hrs and 4 mins
4. Lessons in Chemistry,By: Bonnie Garmus,Length: 11 hrs and 55 mins
5. Fourth Wing,By: Rebecca Yarros,Length: 20 hrs and 47 mins
6. Outlive,"By: Peter Attia MD, Bill Gifford - contributor",Length: 17 hrs and 7 mins
7. The Covenant of Water,By: Abraham Verghese,Length: 31 hrs and 16 mins
8. I'm Glad My Mom Died,By: Jennette McCurdy,Length: 6 hrs and 26 mins
9. Demon Copperhead,By: Barbara Kingsolver,Length: 21 hrs and 3 mins
10. A Court of Thorns and Roses,By: Sarah J. Maas,Length: 16 hrs and 7 mins
11. Happy Place,By: Emily Henry,Length: 11 hrs and 3 mins
12. Pageboy,By: Elliot Page,Length: 8 hrs and 24 mins
13. Spare,By: Prince Harry The Duke of Sussex,Length: 15 hrs and 39 mins
14. Only the Dead,By: Jack Carr,Length: 15 hrs and 17 mins
15. Verity,By: Colleen Hoover,Length: 8 hrs and 10 mins
16. It Ends with Us,By: Colleen Hoover,Length: 11 hrs and 11 mins
17. The Subtle Art of Not Giving a F*ck,By: Mark Manson,Length: 5 hrs and 17 mins
18. Greenlights,By: Matthew McConaughey,Length: 6 hrs and 42 mins
19. Remarkably Bright Creatures,By: Shelby Van Pelt,Length: 11 hrs and 16 mins
20. You're Already Awesome,By: Alison Faulkner,Length: 8 hrs and 9 mins
21. The Housemaid,By: Freida McFadden,Length: 9 hrs and 46 mins
22. The Last Thing He Told Me,By: Laura Dave,Length: 8 hrs and 49 mins
23. A Court of Silver Flames,By: Sarah J. Maas,Length: 26 hrs and 5 mins
24. The Seven Husbands of Evelyn Hugo,By: Taylor Jenkins Reid,Length: 12 hrs and 10 mins
25. A Court of Mist and Fury,By: Sarah J. Maas,Length: 23 hrs and 16 mins
26. Can't Hurt Me,By: David Goggins,Length: 13 hrs and 37 mins
27. A Court of Wings and Ruin,By: Sarah J. Maas,Length: 25 hrs and 9 mins
"28. Harry Potter and the Sorcerer's Stone, Book 1",By: J.K. Rowling,Length: 8 hrs and 18 mins
29. A Court of Frost and Starlight,By: Sarah J. Maas,Length: 6 hrs and 23 mins
30. Project Hail Mary,By: Andy Weir,Length: 16 hrs and 10 mins
31. How to Win Friends & Influence People,By: Dale Carnegie,Length: 7 hrs and 15 mins
32. Never Finished,By: David Goggins,Length: 11 hrs and 6 mins
33. It Starts with Us,By: Colleen Hoover,Length: 8 hrs and 41 mins
34. 12 Rules for Life,"By: Jordan B. Peterson, Norman Doidge MD",Length: 15 hrs and 40 mins
35. The Hobbit,By: J. R. R. Tolkien,Length: 10 hrs and 25 mins
36. The Body Keeps the Score,By: Bessel A. van der Kolk,Length: 16 hrs and 15 mins
37. The Fellowship of the Ring,By: J. R. R. Tolkien,Length: 22 hrs and 38 mins
38. Haunting Adeline,By: H. D. Carlton,Length: 15 hrs and 47 mins
"39. Tomorrow, and Tomorrow, and Tomorrow",By: Gabrielle Zevin,Length: 13 hrs and 52 mins
40. The Terminal List,By: Jack Carr,Length: 12 hrs and 3 mins
41. Killers of the Flower Moon,By: David Grann,Length: 9 hrs and 4 mins
42. The Mountain Is You,By: Brianna Wiest,Length: 5 hrs and 44 mins
43. The Psychology of Money,By: Morgan Housel,Length: 5 hrs and 48 mins
44. Kingdom of Ash,By: Sarah J. Maas,Length: 33 hrs and 11 mins
45. Hello Beautiful,By: Ann Napolitano,Length: 15 hrs and 6 mins
46. Fairy Tale,By: Stephen King,Length: 24 hrs and 6 mins
47. Mad Honey,"By: Jodi Picoult, Jennifer Finney Boylan",Length: 15 hrs and 12 mins
48. The Four Agreements,By: don Miguel Ruiz,Length: 2 hrs and 31 mins
49. The Two Towers,By: J. R. R. Tolkien,Length: 20 hrs and 46 mins
"50. Harry Potter and the Chamber of Secrets, Book 2",By: J.K. Rowling,Length: 9 hrs and 2 mins
51. The Creative Act,By: Rick Rubin,Length: 5 hrs and 45 mins
52. How to Talk to Anyone,By: Leil Lowndes,Length: 8 hrs and 59 mins
53. The Return of the King,By: J. R. R. Tolkien,Length: 21 hrs and 52 mins
54. Tower of Dawn,By: Sarah J. Maas,Length: 22 hrs and 39 mins
55. Empire of Storms,By: Sarah J. Maas,Length: 25 hrs and 18 mins
56. Throne of Glass,By: Sarah J. Maas,Length: 13 hrs and 3 mins
57. Queen of Shadows,By: Sarah J. Maas,Length: 20 hrs and 43 mins
58. Unfu*k Yourself,By: Gary John Bishop,Length: 3 hrs and 24 mins
"59. Harry Potter and the Goblet of Fire, Book 4",By: J.K. Rowling,Length: 20 hrs and 36 mins
60. The Light We Carry,By: Michelle Obama,Length: 9 hrs and 59 mins
"61. Harry Potter and the Half-Blood Prince, Book 6",By: J.K. Rowling,Length: 18 hrs and 32 mins
"62. Harry Potter and the Prisoner of Azkaban, Book 3",By: J.K. Rowling,Length: 11 hrs and 49 mins
63. The Wager,By: David Grann,Length: 8 hrs and 28 mins
64. Prepared,"By: Mike Glover, Jack Carr - foreword",Length: 5 hrs and 14 mins
65. House of Sky and Breath,By: Sarah J. Maas,Length: 27 hrs and 42 mins
66. Dune,By: Frank Herbert,Length: 21 hrs and 2 mins
